question,answer,wrong1,wrong2,difficulty,type
20 - 9 =,11.0,12.0,14.0,1,subtraction
12 + 9 =,21.0,20.0,18.0,1,addition
6 + 6 =,12.0,11.0,14.0,1,addition
2 + 17 =,19.0,21.0,22.0,1,addition
15 - 1 =,14.0,13.0,12.0,0,subtraction
15 - 15 =,0.0,1.0,2.0,0,subtraction
19 - 15 =,4.0,1.0,2.0,0,subtraction
15 - 13 =,2.0,3.0,0.0,1,subtraction
20 - 2 =,18.0,19.0,20.0,0,subtraction
7 + 17 =,24.0,25.0,22.0,1,addition
8 - 3 =,5.0,8.0,4.0,0,subtraction
5 - 2 =,3.0,5.0,0.0,1,subtraction
13 - 5 =,8.0,9.0,10.0,0,subtraction
11 - 8 =,3.0,1.0,4.0,0,subtraction
19 - 2 =,17.0,15.0,16.0,1,subtraction
11 - 7 =,4.0,7.0,3.0,0,subtraction
3 + 14 =,17.0,15.0,20.0,0,addition
5 - 4 =,1.0,0.0,3.0,1,subtraction
11 + 7 =,18.0,21.0,16.0,0,addition
2 + 8 =,10.0,9.0,13.0,0,addition
10 - 8 =,2.0,4.0,5.0,1,subtraction
13 - 6 =,7.0,5.0,10.0,0,subtraction
19 - 6 =,13.0,14.0,10.0,0,subtraction
15 - 5 =,10.0,11.0,8.0,1,subtraction
9 - 0 =,9.0,8.0,6.0,0,subtraction
2 + 14 =,16.0,18.0,14.0,0,addition
20 + 13 =,33.0,34.0,32.0,0,addition
8 + 0 =,8.0,11.0,9.0,0,addition
16 - 14 =,2.0,0.0,3.0,0,subtraction
18 - 10 =,8.0,6.0,10.0,0,subtraction
19 + 19 =,38.0,40.0,36.0,0,addition
5 + 15 =,20.0,22.0,21.0,0,addition
13 - 4 =,9.0,7.0,11.0,1,subtraction
16 - 3 =,13.0,14.0,11.0,0,subtraction
11 - 4 =,7.0,8.0,9.0,0,subtraction
15 + 20 =,35.0,37.0,33.0,0,addition
9 - 4 =,5.0,4.0,2.0,1,subtraction
7 + 4 =,11.0,13.0,12.0,0,addition
18 - 4 =,14.0,11.0,12.0,0,subtraction
18 + 0 =,18.0,20.0,21.0,1,addition
20 - 0 =,20.0,19.0,17.0,1,subtraction
13 - 3 =,10.0,8.0,12.0,1,subtraction
19 - 8 =,11.0,14.0,10.0,0,subtraction
15 - 3 =,12.0,10.0,13.0,1,subtraction
4 + 13 =,17.0,15.0,16.0,1,addition
3 - 1 =,2.0,0.0,3.0,0,subtraction
8 - 4 =,4.0,7.0,6.0,1,subtraction
16 - 10 =,6.0,3.0,9.0,0,subtraction
9 + 11 =,20.0,22.0,23.0,1,addition
13 - 13 =,0.0,1.0,2.0,1,subtraction
0 + 13 =,13.0,14.0,15.0,1,addition
9 - 4 =,5.0,2.0,7.0,0,subtraction
16 + 3 =,19.0,17.0,20.0,0,addition
19 - 4 =,15.0,12.0,14.0,0,subtraction
10 - 1 =,9.0,7.0,10.0,0,subtraction
7 - 5 =,2.0,3.0,1.0,0,subtraction
15 + 17 =,32.0,35.0,29.0,1,addition
7 - 0 =,7.0,4.0,6.0,1,subtraction
11 - 5 =,6.0,9.0,5.0,0,subtraction
17 - 15 =,2.0,3.0,4.0,1,subtraction
3 - 3 =,0.0,2.0,3.0,1,subtraction
17 + 1 =,18.0,21.0,20.0,0,addition
4 + 7 =,11.0,9.0,14.0,0,addition
20 - 7 =,13.0,12.0,16.0,0,subtraction
20 + 3 =,23.0,26.0,22.0,0,addition
12 + 17 =,29.0,28.0,27.0,0,addition
13 + 2 =,15.0,18.0,17.0,0,addition
0 + 4 =,4.0,7.0,6.0,1,addition
0 + 16 =,16.0,17.0,18.0,0,addition
2 - 1 =,1.0,0.0,2.0,1,subtraction
10 + 0 =,10.0,11.0,12.0,0,addition
17 - 2 =,15.0,13.0,17.0,1,subtraction
3 + 6 =,9.0,12.0,11.0,0,addition
16 - 2 =,14.0,13.0,12.0,0,subtraction
9 + 5 =,14.0,12.0,13.0,1,addition
8 + 15 =,23.0,21.0,20.0,0,addition
10 + 2 =,12.0,13.0,14.0,1,addition
19 - 3 =,16.0,18.0,14.0,1,subtraction
5 - 5 =,0.0,2.0,3.0,1,subtraction
6 - 3 =,3.0,1.0,4.0,0,subtraction
4 - 3 =,1.0,4.0,0.0,0,subtraction
1 + 16 =,17.0,20.0,19.0,0,addition
9 + 16 =,25.0,24.0,27.0,0,addition
15 + 15 =,30.0,33.0,29.0,0,addition
20 - 3 =,17.0,19.0,18.0,0,subtraction
17 - 8 =,9.0,7.0,11.0,0,subtraction
14 - 5 =,9.0,6.0,12.0,1,subtraction
9 - 1 =,8.0,9.0,6.0,1,subtraction
10 - 7 =,3.0,5.0,4.0,1,subtraction
5 + 3 =,8.0,7.0,11.0,1,addition
15 + 19 =,34.0,31.0,35.0,1,addition
8 + 20 =,28.0,30.0,25.0,0,addition
18 - 9 =,9.0,10.0,7.0,1,subtraction
1 + 11 =,12.0,11.0,15.0,1,addition
13 - 3 =,10.0,12.0,11.0,1,subtraction
18 - 12 =,6.0,4.0,8.0,1,subtraction
12 - 0 =,12.0,10.0,11.0,0,subtraction
14 - 0 =,14.0,13.0,11.0,0,subtraction
0 + 17 =,17.0,18.0,20.0,0,addition
5 + 5 =,10.0,13.0,7.0,1,addition
9 - 8 =,1.0,4.0,3.0,0,subtraction
11 + 13 =,24.0,23.0,26.0,0,addition
11 + 16 =,27.0,25.0,24.0,1,addition
9 - 5 =,4.0,3.0,7.0,0,subtraction
20 + 17 =,37.0,36.0,35.0,1,addition
20 - 1 =,19.0,17.0,16.0,1,subtraction
19 - 9 =,10.0,7.0,9.0,0,subtraction
2 + 11 =,13.0,14.0,16.0,1,addition
5 + 7 =,12.0,14.0,10.0,1,addition
17 - 0 =,17.0,15.0,16.0,0,subtraction
12 + 15 =,27.0,30.0,24.0,1,addition
18 - 1 =,17.0,15.0,18.0,1,subtraction
19 + 18 =,37.0,39.0,35.0,1,addition
18 - 13 =,5.0,8.0,2.0,1,subtraction
7 + 3 =,10.0,8.0,9.0,0,addition
16 - 6 =,10.0,8.0,7.0,0,subtraction
9 - 4 =,5.0,6.0,4.0,1,subtraction
18 + 5 =,23.0,26.0,20.0,0,addition
4 + 18 =,22.0,20.0,19.0,0,addition
10 + 5 =,15.0,16.0,18.0,0,addition
15 - 6 =,9.0,6.0,12.0,1,subtraction
17 - 16 =,1.0,4.0,3.0,0,subtraction
3 + 16 =,19.0,21.0,18.0,1,addition
17 + 9 =,26.0,28.0,25.0,0,addition
16 + 15 =,31.0,28.0,32.0,0,addition
7 + 9 =,16.0,14.0,13.0,1,addition
3 × 5 =,15.0,17.0,12.0,4,multiplication
90 - 52 =,38.0,39.0,35.0,4,subtraction
58 - 12 =,46.0,45.0,43.0,4,subtraction
14 + 86 =,100.0,103.0,99.0,2,addition
30 ÷ 6 =,5.0,6.0,4.0,3,division
86 - 67 =,19.0,18.0,16.0,2,subtraction
55 ÷ 11 =,5.0,4.0,6.0,2,division
88 - 1 =,87.0,84.0,86.0,3,subtraction
1 × 10 =,10.0,9.0,11.0,2,multiplication
87 - 56 =,31.0,34.0,30.0,4,subtraction
60 ÷ 5 =,12.0,10.0,14.0,4,division
43 + 51 =,94.0,97.0,91.0,3,addition
58 - 10 =,48.0,50.0,45.0,4,subtraction
46 + 30 =,76.0,73.0,77.0,4,addition
57 - 1 =,56.0,55.0,54.0,2,subtraction
55 ÷ 11 =,5.0,6.0,4.0,4,division
84 - 63 =,21.0,18.0,24.0,2,subtraction
2 × 5 =,10.0,9.0,12.0,2,multiplication
98 - 11 =,87.0,88.0,86.0,4,subtraction
4 × 2 =,8.0,6.0,7.0,4,multiplication
8 × 6 =,48.0,57.0,43.0,4,multiplication
37 + 20 =,57.0,60.0,55.0,2,addition
66 ÷ 11 =,6.0,7.0,5.0,4,division
80 - 38 =,42.0,43.0,40.0,2,subtraction
4 × 1 =,4.0,3.0,5.0,2,multiplication
39 - 4 =,35.0,36.0,38.0,4,subtraction
42 ÷ 6 =,7.0,6.0,8.0,3,division
80 - 53 =,27.0,24.0,29.0,4,subtraction
2 × 9 =,18.0,15.0,19.0,3,multiplication
10 + 36 =,46.0,44.0,48.0,3,addition
48 + 82 =,130.0,127.0,129.0,2,addition
45 + 82 =,127.0,126.0,124.0,3,addition
10 ÷ 5 =,2.0,3.0,6.0,4,division
24 + 72 =,96.0,98.0,93.0,4,addition
40 ÷ 5 =,8.0,7.0,9.0,2,division
19 + 70 =,89.0,90.0,87.0,3,addition
76 + 20 =,96.0,99.0,93.0,3,addition
30 ÷ 5 =,6.0,5.0,7.0,3,division
12 ÷ 4 =,3.0,2.0,4.0,4,division
86 + 29 =,115.0,113.0,118.0,2,addition
14 ÷ 7 =,2.0,5.0,6.0,4,division
36 - 19 =,17.0,19.0,16.0,3,subtraction
13 - 7 =,6.0,8.0,9.0,3,subtraction
27 - 8 =,19.0,20.0,22.0,2,subtraction
94 - 94 =,0.0,2.0,1.0,2,subtraction
100 - 4 =,96.0,98.0,95.0,2,subtraction
7 × 8 =,56.0,46.0,61.0,3,multiplication
80 - 51 =,29.0,32.0,30.0,3,subtraction
94 + 43 =,137.0,136.0,134.0,2,addition
12 ÷ 12 =,1.0,6.0,5.0,4,division
48 + 52 =,100.0,97.0,103.0,4,addition
19 + 92 =,111.0,112.0,109.0,2,addition
1 × 3 =,3.0,2.0,4.0,2,multiplication
68 - 67 =,1.0,4.0,0.0,4,subtraction
72 ÷ 9 =,8.0,10.0,9.0,3,division
56 ÷ 7 =,8.0,9.0,7.0,3,division
50 ÷ 5 =,10.0,11.0,12.0,2,division
10 × 10 =,100.0,89.0,116.0,2,multiplication
12 + 21 =,33.0,31.0,36.0,3,addition
14 + 28 =,42.0,43.0,39.0,4,addition
9 ÷ 3 =,3.0,2.0,4.0,4,division
14 + 14 =,28.0,25.0,27.0,2,addition
15 ÷ 5 =,3.0,2.0,4.0,2,division
8 ÷ 2 =,4.0,5.0,3.0,2,division
7 × 1 =,7.0,8.0,6.0,2,multiplication
5 × 10 =,50.0,41.0,56.0,2,multiplication
7 × 4 =,28.0,23.0,30.0,3,multiplication
2 × 7 =,14.0,11.0,13.0,2,multiplication
10 × 7 =,70.0,63.0,62.0,4,multiplication
69 + 35 =,104.0,103.0,106.0,3,addition
9 × 7 =,63.0,57.0,72.0,2,multiplication
2 × 6 =,12.0,13.0,14.0,2,multiplication
2 × 10 =,20.0,18.0,23.0,4,multiplication
96 ÷ 12 =,8.0,9.0,6.0,4,division
1 × 6 =,6.0,5.0,7.0,3,multiplication
50 - 47 =,3.0,6.0,5.0,3,subtraction
44 ÷ 11 =,4.0,3.0,5.0,4,division
48 ÷ 12 =,4.0,3.0,5.0,4,division
66 - 20 =,46.0,48.0,47.0,4,subtraction
98 - 25 =,73.0,74.0,72.0,3,subtraction
51 - 33 =,18.0,16.0,17.0,4,subtraction
80 + 39 =,119.0,118.0,120.0,4,addition
6 × 9 =,54.0,62.0,59.0,4,multiplication
7 + 66 =,73.0,74.0,75.0,2,addition
71 - 39 =,32.0,31.0,35.0,3,subtraction
90 + 90 =,180.0,177.0,181.0,2,addition
7 + 26 =,33.0,35.0,31.0,3,addition
8 + 48 =,56.0,55.0,57.0,3,addition
86 - 79 =,7.0,6.0,5.0,4,subtraction
90 - 5 =,85.0,87.0,88.0,4,subtraction
110 ÷ 11 =,10.0,11.0,12.0,2,division
30 + 34 =,64.0,66.0,67.0,4,addition
92 + 68 =,160.0,158.0,157.0,3,addition
3 × 10 =,30.0,33.0,32.0,3,multiplication
79 - 72 =,7.0,4.0,8.0,3,subtraction
10 ÷ 5 =,2.0,4.0,6.0,2,division
7 × 6 =,42.0,45.0,35.0,2,multiplication
2 × 3 =,6.0,7.0,5.0,2,multiplication
67 - 4 =,63.0,64.0,66.0,2,subtraction
89 - 16 =,73.0,75.0,70.0,2,subtraction
70 ÷ 10 =,7.0,6.0,8.0,4,division
26 - 5 =,21.0,24.0,18.0,4,subtraction
94 + 51 =,145.0,148.0,147.0,2,addition
66 - 55 =,11.0,13.0,8.0,3,subtraction
2 ÷ 1 =,2.0,4.0,7.0,3,division
99 ÷ 11 =,9.0,8.0,10.0,2,division
55 - 2 =,53.0,54.0,55.0,2,subtraction
8 + 27 =,35.0,33.0,38.0,4,addition
48 ÷ 12 =,4.0,5.0,3.0,2,division
61 + 69 =,130.0,132.0,129.0,3,addition
30 ÷ 5 =,6.0,7.0,5.0,4,division
70 - 53 =,17.0,20.0,14.0,2,subtraction
1 + 41 =,42.0,43.0,41.0,4,addition
5 × 6 =,30.0,35.0,26.0,4,multiplication
85 - 61 =,24.0,26.0,25.0,3,subtraction
59 + 48 =,107.0,109.0,108.0,2,addition
67 - 28 =,39.0,41.0,40.0,2,subtraction
85 - 45 =,40.0,39.0,37.0,3,subtraction
99 - 86 =,13.0,12.0,10.0,3,subtraction
69 - 8 =,61.0,58.0,64.0,2,subtraction
65 + 28 =,93.0,96.0,90.0,2,addition
61 + 93 =,154.0,151.0,153.0,3,addition
98 - 88 =,10.0,11.0,9.0,3,subtraction
100 - 74 =,26.0,23.0,27.0,4,subtraction
83 + 72 =,155.0,156.0,152.0,3,addition
30 ÷ 3 =,10.0,9.0,11.0,2,division
87 + 73 =,160.0,163.0,159.0,3,addition
16 ÷ 2 =,8.0,7.0,10.0,2,division
9 × 3 =,27.0,29.0,22.0,4,multiplication
94 + 50 =,144.0,141.0,142.0,2,addition
5 × 3 =,15.0,13.0,12.0,4,multiplication
96 - 77 =,19.0,20.0,16.0,3,subtraction
15 ÷ 5 =,3.0,4.0,2.0,3,division
1 × 9 =,9.0,8.0,11.0,4,multiplication
66 + 35 =,101.0,102.0,103.0,2,addition
100 - 93 =,7.0,10.0,9.0,2,subtraction
38 - 18 =,20.0,18.0,17.0,3,subtraction
9 × 1 =,9.0,8.0,7.0,2,multiplication
76 + 52 =,128.0,130.0,129.0,4,addition
77 + 90 =,167.0,165.0,170.0,3,addition
80 - 72 =,8.0,9.0,6.0,4,subtraction
20 ÷ 2 =,10.0,12.0,11.0,3,division
9 × 5 =,45.0,42.0,54.0,2,multiplication
87 - 69 =,18.0,21.0,15.0,2,subtraction
75 + 8 =,83.0,86.0,85.0,2,addition
92 - 55 =,37.0,38.0,36.0,2,subtraction
36 ÷ 9 =,4.0,5.0,3.0,2,division
66 + 65 =,131.0,130.0,133.0,4,addition
50 - 43 =,7.0,8.0,10.0,2,subtraction
56 - 3 =,53.0,50.0,54.0,4,subtraction
20 + 64 =,84.0,87.0,83.0,3,addition
3 × 1 =,3.0,4.0,2.0,3,multiplication
93 - 12 =,81.0,80.0,84.0,3,subtraction
3 - 0 =,3.0,2.0,0.0,2,subtraction
29 - 25 =,4.0,6.0,7.0,4,subtraction
5 × 8 =,40.0,32.0,46.0,2,multiplication
8 ÷ 2 =,4.0,3.0,5.0,2,division
22 + 11 =,33.0,34.0,32.0,4,addition
8 ÷ 2 =,4.0,5.0,3.0,2,division
12 ÷ 3 =,4.0,5.0,3.0,4,division
88 - 36 =,52.0,55.0,51.0,3,subtraction
15 + 84 =,99.0,98.0,100.0,3,addition
89 - 42 =,47.0,48.0,44.0,4,subtraction
108 ÷ 9 =,12.0,14.0,11.0,3,division
25 + 95 =,120.0,118.0,123.0,3,addition
29 + 79 =,108.0,107.0,105.0,4,addition
4 × 8 =,32.0,35.0,28.0,4,multiplication
34 + 78 =,112.0,113.0,114.0,2,addition
81 - 80 =,1.0,3.0,2.0,3,subtraction
75 - 34 =,41.0,43.0,42.0,2,subtraction
3 × 8 =,24.0,21.0,20.0,2,multiplication
35 + 56 =,91.0,93.0,89.0,2,addition
12 ÷ 1 =,12.0,11.0,14.0,2,division
88 - 8 =,80.0,77.0,83.0,2,subtraction
98 - 28 =,70.0,71.0,67.0,3,subtraction
10 × 2 =,20.0,16.0,18.0,3,multiplication
5 × 7 =,35.0,29.0,39.0,4,multiplication
27 + 51 =,78.0,77.0,81.0,4,addition
49 ÷ 7 =,7.0,8.0,6.0,2,division
18 ÷ 3 =,6.0,7.0,5.0,4,division
80 - 54 =,26.0,24.0,25.0,3,subtraction
88 - 27 =,61.0,58.0,64.0,2,subtraction
49 - 48 =,1.0,2.0,0.0,3,subtraction
93 - 37 =,56.0,53.0,59.0,3,subtraction
36 ÷ 6 =,6.0,5.0,7.0,4,division
100 + 34 =,134.0,137.0,135.0,3,addition
9 × 9 =,81.0,90.0,73.0,2,multiplication
23 + 26 =,49.0,47.0,50.0,4,addition
38 + 46 =,84.0,83.0,81.0,4,addition
90 + 52 =,142.0,143.0,140.0,4,addition
6 × 8 =,48.0,53.0,43.0,3,multiplication
23 + 7 =,30.0,32.0,28.0,2,addition
35 - 17 =,18.0,20.0,15.0,3,subtraction
33 + 76 =,109.0,110.0,108.0,3,addition
21 - 12 =,9.0,10.0,8.0,2,subtraction
43 - 35 =,8.0,5.0,9.0,4,subtraction
4 × 10 =,40.0,33.0,44.0,4,multiplication
80 - 8 =,72.0,73.0,71.0,4,subtraction
120 ÷ 10 =,12.0,10.0,13.0,4,division
97 - 52 =,45.0,44.0,43.0,4,subtraction
87 - 10 =,77.0,75.0,78.0,4,subtraction
41 + 74 =,115.0,112.0,113.0,4,addition
85 + 55 =,140.0,142.0,141.0,3,addition
70 + 91 =,161.0,160.0,162.0,4,addition
48 + 94 =,142.0,140.0,145.0,2,addition
93 + 32 =,125.0,127.0,123.0,4,addition
16 ÷ 4 =,4.0,3.0,5.0,4,division
44 ÷ 11 =,4.0,5.0,3.0,2,division
89 - 5 =,84.0,81.0,83.0,3,subtraction
79 - 73 =,6.0,8.0,4.0,4,subtraction
15 ÷ 3 =,5.0,6.0,4.0,2,division
33 + 2 =,35.0,38.0,37.0,3,addition
7 × 2 =,14.0,13.0,16.0,2,multiplication
93 - 70 =,23.0,22.0,25.0,2,subtraction
88 - 53 =,35.0,34.0,38.0,4,subtraction
31 - 7 =,24.0,21.0,26.0,4,subtraction
77 - 19 =,58.0,61.0,57.0,4,subtraction
25 ÷ 5 =,5.0,4.0,6.0,4,division
1 ÷ 1 =,1.0,4.0,6.0,2,division
70 + 62 =,132.0,133.0,130.0,4,addition
87 - 17 =,70.0,67.0,73.0,3,subtraction
64 ÷ 8 =,8.0,9.0,7.0,4,division
3 × 3 =,9.0,8.0,10.0,4,multiplication
45 + 60 =,105.0,104.0,106.0,3,addition
48 ÷ 4 =,12.0,14.0,13.0,2,division
8 × 9 =,72.0,76.0,86.0,4,multiplication
8 × 10 =,80.0,74.0,65.0,2,multiplication
10 × 8 =,80.0,92.0,95.0,4,multiplication
16 - 11 =,5.0,7.0,8.0,2,subtraction
1 × 4 =,4.0,3.0,5.0,2,multiplication
6 × 4 =,24.0,23.0,20.0,3,multiplication
87 - 35 =,52.0,49.0,54.0,3,subtraction
121 ÷ 11 =,11.0,12.0,9.0,4,division
97 + 88 =,185.0,183.0,187.0,2,addition
90 ÷ 9 =,10.0,11.0,8.0,4,division
18 + 62 =,80.0,77.0,81.0,3,addition
76 - 66 =,10.0,11.0,12.0,4,subtraction
59 - 55 =,4.0,3.0,6.0,3,subtraction
49 - 38 =,11.0,12.0,14.0,3,subtraction
1 × 7 =,7.0,6.0,8.0,2,multiplication
91 - 51 =,40.0,38.0,39.0,3,subtraction
12 ÷ 3 =,4.0,5.0,3.0,2,division
65 - 59 =,6.0,5.0,8.0,4,subtraction
61 - 26 =,35.0,36.0,37.0,4,subtraction
9 × 8 =,72.0,60.0,61.0,3,multiplication
10 × 3 =,30.0,33.0,34.0,2,multiplication
2 × 8 =,16.0,17.0,18.0,3,multiplication
86 + 52 =,138.0,135.0,136.0,4,addition
4 + 86 =,90.0,88.0,89.0,4,addition
81 ÷ 9 =,9.0,10.0,8.0,3,division
60 ÷ 6 =,10.0,9.0,11.0,4,division
40 ÷ 5 =,8.0,6.0,9.0,4,division
33 ÷ 3 =,11.0,9.0,13.0,2,division
4 - 4 =,0.0,1.0,3.0,4,subtraction
94 + 7 =,101.0,102.0,99.0,2,addition
40 - 2 =,38.0,39.0,35.0,4,subtraction
7 × 7 =,49.0,57.0,41.0,2,multiplication
48 - 16 =,32.0,31.0,29.0,2,subtraction
95 - 77 =,18.0,20.0,19.0,3,subtraction
90 ÷ 9 =,10.0,8.0,9.0,3,division
55 - 5 =,50.0,53.0,49.0,2,subtraction
40 ÷ 8 =,5.0,6.0,4.0,2,division
5 × 2 =,10.0,9.0,11.0,3,multiplication
90 - 7 =,83.0,84.0,80.0,3,subtraction
81 ÷ 9 =,9.0,7.0,10.0,3,division
54 + 79 =,133.0,132.0,136.0,3,addition
65 + 94 =,159.0,156.0,161.0,4,addition
46 - 9 =,37.0,35.0,36.0,4,subtraction
21 - 12 =,9.0,10.0,6.0,4,subtraction
57 - 16 =,41.0,42.0,40.0,2,subtraction
24 ÷ 8 =,3.0,2.0,4.0,3,division
4 + 19 =,23.0,20.0,25.0,3,addition
81 - 8 =,73.0,71.0,70.0,3,subtraction
53 - 51 =,2.0,4.0,0.0,4,subtraction
1 × 2 =,2.0,5.0,7.0,2,multiplication
57 - 35 =,22.0,24.0,23.0,3,subtraction
44 + 91 =,135.0,137.0,133.0,3,addition
93 - 6 =,87.0,84.0,85.0,2,subtraction
44 ÷ 4 =,11.0,13.0,10.0,3,division
0 + 7 =,7.0,10.0,9.0,3,addition
6 × 1 =,6.0,5.0,7.0,2,multiplication
91 - 40 =,51.0,52.0,50.0,3,subtraction
70 + 53 =,123.0,121.0,126.0,2,addition
4 × 9 =,36.0,42.0,33.0,4,multiplication
76 + 92 =,168.0,165.0,167.0,3,addition
73 - 22 =,51.0,54.0,48.0,3,subtraction
16 ÷ 2 =,8.0,6.0,7.0,4,division
36 + 67 =,103.0,102.0,105.0,4,addition
11 + 54 =,65.0,68.0,64.0,2,addition
61 - 24 =,37.0,39.0,40.0,2,subtraction
6 + 99 =,105.0,104.0,108.0,2,addition
98 + 89 =,187.0,188.0,189.0,2,addition
69 + 61 =,130.0,133.0,128.0,4,addition
53 - 44 =,9.0,7.0,10.0,2,subtraction
14 ÷ 7 =,2.0,5.0,6.0,4,division
10 × 1 =,10.0,11.0,12.0,4,multiplication
10 × 9 =,90.0,104.0,100.0,3,multiplication
86 - 16 =,70.0,73.0,68.0,2,subtraction
42 + 22 =,64.0,63.0,66.0,3,addition
49 + 18 =,67.0,69.0,66.0,3,addition
2 × 2 =,4.0,3.0,5.0,2,multiplication
79 + 4 =,83.0,84.0,82.0,4,addition
73 + 0 =,73.0,74.0,75.0,4,addition
94 - 37 =,57.0,54.0,55.0,4,subtraction
16 ÷ 4 =,4.0,3.0,5.0,4,division
81 ÷ 9 =,9.0,7.0,11.0,2,division
