question,answer,type,difficulty
20 ÷ 1,20,division,2
8 ÷ 4,2,division,2
48 ÷ 4,12,division,2
40 ÷ 5,8,division,2
24 ÷ 12,2,division,2
42 ÷ 7,6,division,2
39 ÷ 3,13,division,2
0 ÷ 11,0,division,2
48 ÷ 2,24,division,2
68 + 86,154,addition,3
49 + 97,146,addition,3
66 + 48,114,addition,3
97 + 46,143,addition,3
94 + 50,144,addition,3
48 + 31,79,addition,3
62 + 90,152,addition,3
92 + 93,185,addition,3
41 + 82,123,addition,3
74 + 87,161,addition,3
47 + 41,88,addition,3
83 + 50,133,addition,3
62 + 91,153,addition,3
24 + 90,114,addition,3
31 + 56,87,addition,3
77 + 23,100,addition,3
62 + 51,113,addition,3
67 + 68,135,addition,3
53 + 53,106,addition,3
63 + 58,121,addition,3
80 + 94,174,addition,3
63 + 72,135,addition,3
47 + 91,138,addition,3
100 + 29,129,addition,3
72 + 41,113,addition,3
72 - 69,3,subtraction,3
24 - 21,3,subtraction,3
91 - 74,17,subtraction,3
89 - 81,8,subtraction,3
47 - 34,13,subtraction,3
95 - 85,10,subtraction,3
41 - 40,1,subtraction,3
67 - 56,11,subtraction,3
88 - 53,35,subtraction,3
97 - 95,2,subtraction,3
96 - 71,25,subtraction,3
87 - 37,50,subtraction,3
83 - 51,32,subtraction,3
50 - 43,7,subtraction,3
73 - 48,25,subtraction,3
39 - 33,6,subtraction,3
95 - 36,59,subtraction,3
77 - 54,23,subtraction,3
78 - 29,49,subtraction,3
54 - 28,26,subtraction,3
93 - 34,59,subtraction,3
88 - 36,52,subtraction,3
58 - 46,12,subtraction,3
91 - 37,54,subtraction,3
92 - 38,54,subtraction,3
29 × 9,261,multiplication,3
17 × 5,85,multiplication,3
36 × 2,72,multiplication,3
42 × 3,126,multiplication,3
12 × 4,48,multiplication,3
30 × 6,180,multiplication,3
19 × 12,228,multiplication,3
25 × 9,225,multiplication,3
47 × 4,188,multiplication,3
42 × 2,84,multiplication,3
44 × 3,132,multiplication,3
38 × 6,228,multiplication,3
29 × 6,174,multiplication,3
27 × 1,27,multiplication,3
50 × 9,450,multiplication,3
47 × 1,47,multiplication,3
18 × 1,18,multiplication,3
10 × 11,110,multiplication,3
10 × 12,120,multiplication,3
12 × 4,48,multiplication,3
19 × 5,95,multiplication,3
29 × 8,232,multiplication,3
44 × 2,88,multiplication,3
28 × 5,140,multiplication,3
40 × 10,400,multiplication,3
27 ÷ 9,3,division,3
48 ÷ 12,4,division,3
28 ÷ 2,14,division,3
32 ÷ 2,16,division,3
98 ÷ 2,49,division,3
99 ÷ 11,9,division,3
29 ÷ 1,29,division,3
96 ÷ 12,8,division,3
98 ÷ 7,14,division,3
68 ÷ 1,68,division,3
60 ÷ 6,10,division,3
54 ÷ 2,27,division,3
95 ÷ 1,95,division,3
20 ÷ 10,2,division,3
44 ÷ 2,22,division,3
12 ÷ 12,1,division,3
20 ÷ 10,2,division,3
99 ÷ 11,9,division,3
48 ÷ 12,4,division,3
48 ÷ 6,8,division,3
32 ÷ 2,16,division,3
54 ÷ 9,6,division,3
48 ÷ 12,4,division,3
60 ÷ 6,10,division,3
72 ÷ 12,6,division,3
62 + 179,241,addition,4
153 + 139,292,addition,4
152 + 191,343,addition,4
185 + 105,290,addition,4
142 + 166,308,addition,4
77 + 78,155,addition,4
198 + 171,369,addition,4
171 + 93,264,addition,4
152 + 193,345,addition,4
111 + 80,191,addition,4
98 + 72,170,addition,4
109 + 156,265,addition,4
169 + 111,280,addition,4
135 + 169,304,addition,4
118 + 191,309,addition,4
167 + 174,341,addition,4
184 + 62,246,addition,4
112 + 147,259,addition,4
140 + 185,325,addition,4
153 + 88,241,addition,4
153 + 82,235,addition,4
155 + 199,354,addition,4
59 + 183,242,addition,4
99 + 119,218,addition,4
183 + 179,362,addition,4
166 - 150,16,subtraction,4
107 - 104,3,subtraction,4
139 - 80,59,subtraction,4
157 - 52,105,subtraction,4
190 - 174,16,subtraction,4
196 - 175,21,subtraction,4
95 - 95,0,subtraction,4
172 - 79,93,subtraction,4
168 - 149,19,subtraction,4
117 - 66,51,subtraction,4
198 - 187,11,subtraction,4
177 - 175,2,subtraction,4
144 - 124,20,subtraction,4
159 - 144,15,subtraction,4
151 - 69,82,subtraction,4
165 - 96,69,subtraction,4
136 - 70,66,subtraction,4
108 - 100,8,subtraction,4
198 - 88,110,subtraction,4
192 - 83,109,subtraction,4
164 - 73,91,subtraction,4
130 - 83,47,subtraction,4
163 - 152,11,subtraction,4
154 - 86,68,subtraction,4
193 - 96,97,subtraction,4
87 × 9,783,multiplication,4
70 × 11,770,multiplication,4
73 × 9,657,multiplication,4
48 × 5,240,multiplication,4
88 × 10,880,multiplication,4
99 × 8,792,multiplication,4
68 × 11,748,multiplication,4
86 × 10,860,multiplication,4
61 × 9,549,multiplication,4
62 × 3,186,multiplication,4
51 × 2,102,multiplication,4
73 × 10,730,multiplication,4
81 × 9,729,multiplication,4
50 × 4,200,multiplication,4
87 × 10,870,multiplication,4
46 × 6,276,multiplication,4
93 × 11,1023,multiplication,4
71 × 8,568,multiplication,4
99 × 8,792,multiplication,4
61 × 4,244,multiplication,4
93 × 3,279,multiplication,4
35 × 10,350,multiplication,4
86 × 10,860,multiplication,4
50 × 9,450,multiplication,4
63 × 1,63,multiplication,4
48 ÷ 8,6,division,4
55 ÷ 5,11,division,4
180 ÷ 10,18,division,4
48 ÷ 12,4,division,4
152 ÷ 8,19,division,4
196 ÷ 7,28,division,4
88 ÷ 11,8,division,4
70 ÷ 2,35,division,4
66 ÷ 1,66,division,4
168 ÷ 3,56,division,4
72 ÷ 8,9,division,4
128 ÷ 2,64,division,4
152 ÷ 8,19,division,4
94 ÷ 2,47,division,4
134 ÷ 2,67,division,4
54 ÷ 3,18,division,4
119 ÷ 7,17,division,4
150 ÷ 5,30,division,4
176 ÷ 11,16,division,4
99 ÷ 3,33,division,4
144 ÷ 9,16,division,4
60 ÷ 6,10,division,4
144 ÷ 12,12,division,4
144 ÷ 8,18,division,4
96 ÷ 6,16,division,4
247 + 454,701,addition,5
406 + 460,866,addition,5
346 + 241,587,addition,5
487 + 187,674,addition,5
175 + 487,662,addition,5
211 + 158,369,addition,5
373 + 499,872,addition,5
112 + 410,522,addition,5
375 + 169,544,addition,5
419 + 338,757,addition,5
294 + 317,611,addition,5
445 + 375,820,addition,5
109 + 212,321,addition,5
461 + 238,699,addition,5
443 + 458,901,addition,5
380 + 263,643,addition,5
473 + 224,697,addition,5
170 + 494,664,addition,5
470 + 257,727,addition,5
205 + 285,490,addition,5
417 + 290,707,addition,5
217 + 321,538,addition,5
179 + 338,517,addition,5
202 + 372,574,addition,5
176 + 218,394,addition,5
261 - 187,74,subtraction,5
439 - 422,17,subtraction,5
436 - 201,235,subtraction,5
453 - 344,109,subtraction,5
141 - 106,35,subtraction,5
452 - 301,151,subtraction,5
478 - 172,306,subtraction,5
414 - 221,193,subtraction,5
427 - 161,266,subtraction,5
399 - 349,50,subtraction,5
369 - 178,191,subtraction,5
263 - 214,49,subtraction,5
263 - 108,155,subtraction,5
326 - 113,213,subtraction,5
483 - 232,251,subtraction,5
413 - 290,123,subtraction,5
450 - 418,32,subtraction,5
460 - 364,96,subtraction,5
425 - 139,286,subtraction,5
316 - 119,197,subtraction,5
135 - 108,27,subtraction,5
387 - 170,217,subtraction,5
416 - 198,218,subtraction,5
414 - 164,250,subtraction,5
434 - 202,232,subtraction,5
79 × 2,158,multiplication,5
199 × 8,1592,multiplication,5
204 × 1,204,multiplication,5
198 × 10,1980,multiplication,5
191 × 9,1719,multiplication,5
173 × 6,1038,multiplication,5
217 × 9,1953,multiplication,5
82 × 3,246,multiplication,5
116 × 1,116,multiplication,5
154 × 5,770,multiplication,5
233 × 2,466,multiplication,5
158 × 10,1580,multiplication,5
164 × 5,820,multiplication,5
190 × 3,570,multiplication,5
69 × 5,345,multiplication,5
184 × 6,1104,multiplication,5
108 × 8,864,multiplication,5
125 × 8,1000,multiplication,5
166 × 4,664,multiplication,5
179 × 11,1969,multiplication,5
66 × 12,792,multiplication,5
107 × 11,1177,multiplication,5
235 × 4,940,multiplication,5
56 × 1,56,multiplication,5
212 × 11,2332,multiplication,5
165 ÷ 11,15,division,5
192 ÷ 12,16,division,5
396 ÷ 2,198,division,5
417 ÷ 3,139,division,5
222 ÷ 2,111,division,5
162 ÷ 9,18,division,5
240 ÷ 12,20,division,5
480 ÷ 5,96,division,5
246 ÷ 6,41,division,5
240 ÷ 6,40,division,5
324 ÷ 3,108,division,5
406 ÷ 7,58,division,5
319 ÷ 11,29,division,5
160 ÷ 5,32,division,5
460 ÷ 5,92,division,5
275 ÷ 11,25,division,5
460 ÷ 10,46,division,5
234 ÷ 6,39,division,5
420 ÷ 5,84,division,5
232 ÷ 8,29,division,5
384 ÷ 12,32,division,5
112 ÷ 4,28,division,5
340 ÷ 5,68,division,5
304 ÷ 8,38,division,5
232 ÷ 8,29,division,5
848 + 461,1309,addition,6
278 + 899,1177,addition,6
565 + 924,1489,addition,6
719 + 379,1098,addition,6
452 + 575,1027,addition,6
550 + 407,957,addition,6
773 + 543,1316,addition,6
577 + 937,1514,addition,6
499 + 669,1168,addition,6
341 + 531,872,addition,6
386 + 504,890,addition,6
816 + 703,1519,addition,6
892 + 281,1173,addition,6
483 + 840,1323,addition,6
702 + 428,1130,addition,6
761 + 661,1422,addition,6
584 + 743,1327,addition,6
679 + 281,960,addition,6
248 + 357,605,addition,6
924 + 838,1762,addition,6
818 + 932,1750,addition,6
350 + 331,681,addition,6
795 + 789,1584,addition,6
872 + 629,1501,addition,6
766 + 802,1568,addition,6
895 - 871,24,subtraction,6
791 - 225,566,subtraction,6
902 - 376,526,subtraction,6
892 - 309,583,subtraction,6
699 - 320,379,subtraction,6
712 - 578,134,subtraction,6
747 - 553,194,subtraction,6
959 - 850,109,subtraction,6
988 - 275,713,subtraction,6
992 - 565,427,subtraction,6
486 - 312,174,subtraction,6
953 - 773,180,subtraction,6
660 - 593,67,subtraction,6
797 - 475,322,subtraction,6
932 - 728,204,subtraction,6
855 - 482,373,subtraction,6
956 - 899,57,subtraction,6
849 - 565,284,subtraction,6
384 - 220,164,subtraction,6
422 - 274,148,subtraction,6
735 - 690,45,subtraction,6
801 - 497,304,subtraction,6
399 - 313,86,subtraction,6
430 - 356,74,subtraction,6
952 - 737,215,subtraction,6
375 × 6,2250,multiplication,6
265 × 3,795,multiplication,6
255 × 4,1020,multiplication,6
497 × 3,1491,multiplication,6
204 × 12,2448,multiplication,6
450 × 1,450,multiplication,6
105 × 6,630,multiplication,6
224 × 1,224,multiplication,6
289 × 2,578,multiplication,6
481 × 10,4810,multiplication,6
381 × 9,3429,multiplication,6
457 × 6,2742,multiplication,6
226 × 2,452,multiplication,6
375 × 10,3750,multiplication,6
394 × 5,1970,multiplication,6
233 × 8,1864,multiplication,6
267 × 9,2403,multiplication,6
465 × 9,4185,multiplication,6
329 × 10,3290,multiplication,6
115 × 11,1265,multiplication,6
103 × 4,412,multiplication,6
318 × 7,2226,multiplication,6
351 × 9,3159,multiplication,6
425 × 4,1700,multiplication,6
149 × 1,149,multiplication,6
496 ÷ 1,496,division,6
704 ÷ 11,64,division,6
516 ÷ 4,129,division,6
843 ÷ 3,281,division,6
970 ÷ 10,97,division,6
905 ÷ 5,181,division,6
529 ÷ 1,529,division,6
704 ÷ 11,64,division,6
204 ÷ 6,34,division,6
948 ÷ 12,79,division,6
890 ÷ 10,89,division,6
435 ÷ 3,145,division,6
865 ÷ 5,173,division,6
771 ÷ 1,771,division,6
640 ÷ 8,80,division,6
756 ÷ 12,63,division,6
928 ÷ 4,232,division,6
632 ÷ 4,158,division,6
801 ÷ 9,89,division,6
928 ÷ 8,116,division,6
496 ÷ 4,124,division,6
466 ÷ 2,233,division,6
370 ÷ 10,37,division,6
651 ÷ 7,93,division,6
945 ÷ 3,315,division,6
